Date,Public Health District 1,Public Health District 2,Public Health District 3,Public Health District 4,Public Health District 5,Public Health District 6,Public Health District 7,Grand Total,ConfirmedNew,ProbableNEW,TotalNEW,New,Onset Confirmed,Onset Probable,Deaths,TESTING1,TESTING2,TESTING3,TESTING4,TESTING5,TESTING6,TESTING7,TestingMissing
2/23/2020,,,,,1,,,1,,,,567,1,,,,,,,,,,
2/24/2020,,,,,,,,,,,,,0,,,,,,,,,,
2/25/2020,,,,,,,,,,,,,0,,,,,,,,,,
2/26/2020,,,,,,,,,,,,,0,,,0,0,0,0,0,0,1,13
2/27/2020,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,13
2/28/2020,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,13
2/29/2020,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,13
3/1/2020,,,,,4,,,4,,,,,4,,,0,1,0,0,0,0,0,13
3/2/2020,,,1,2,1,,,4,,,,,3,1,,0,0,3,0,1,0,0,13
3/3/2020,,,,1,1,,,2,,,,,2,,,1,1,2,0,0,0,0,13
3/4/2020,,,,,2,,,2,,,,,2,,,1,0,1,4,0,0,0,13
3/5/2020,,,,2,2,,,4,,,,,4,,,0,0,3,0,0,0,0,13
3/6/2020,1,,1,2,4,,1,9,,,,,9,,,0,0,0,3,1,0,0,13
3/7/2020,,,,2,6,,,8,,,,,8,,,0,1,1,1,0,0,0,13
3/8/2020,,,1,2,2,,1,6,,,,,6,,,2,0,0,1,0,0,0,13
3/9/2020,,,3,7,14,,1,25,,,,,25,,,7,1,3,4,3,2,2,13
3/10/2020,,1,2,6,15,,1,25,,,,,25,,,9,0,3,7,3,0,0,13
3/11/2020,,,,9,16,,,25,,,,,25,,,16,1,0,0,0,3,0,13
3/12/2020,,,3,17,13,,2,35,,,,,35,,,30,2,15,37,4,11,3,13
3/13/2020,,,4,12,48,,1,65,2,0,2,,64,1,,67,1,15,34,5,6,8,13
3/14/2020,,,6,16,30,,1,53,3,0,3,,53,,,34,0,13,56,10,9,10,13
