Date,Public Health District 1,Public Health District 2,Public Health District 3,Public Health District 4,Public Health District 5,Public Health District 6,Public Health District 7,Grand Total,ConfirmedNew,ProbableNEW,TotalNEW,New,Onset Confirmed,Onset Probable,Deaths,TESTING1,TESTING2,TESTING3,TESTING4,TESTING5,TESTING6,TESTING7,TestingMissing
3/31/2020,,1,10,19,14,1,1,46,110,0,110,,43,3,,133,18,162,367,135,11,31,13
4/1/2020,,2,9,29,10,,7,57,144,0,144,,50,7,,146,27,176,356,155,15,34,13
4/2/2020,1,,8,27,7,,3,46,222,0,222,,43,3,2,134,21,173,428,165,16,28,13
4/3/2020,,3,12,17,16,,2,50,122,0,122,,45,5,1,122,29,186,370,146,20,27,13
4/4/2020,,1,4,11,5,,1,22,64,0,64,,22,,,46,21,93,255,100,8,6,13
4/5/2020,,3,3,6,10,1,,23,24,0,24,,21,2,3,39,14,87,188,87,5,3,13
4/6/2020,,3,5,6,10,,1,25,69,0,69,,21,4,5,123,32,238,402,176,28,57,13
4/7/2020,,,3,8,11,1,1,24,40,0,40,,19,5,4,101,20,172,331,132,16,43,13
4/8/2020,,2,1,14,10,1,4,32,22,0,22,,21,11,2,102,34,187,344,127,8,45,13
4/9/2020,,3,4,6,9,,1,23,121,13,134,,18,5,2,91,19,171,271,101,13,39,13
4/10/2020,,1,5,10,8,,,24,43,15,58,,18,6,3,64,20,153,278,86,19,50,13
4/11/2020,,,3,13,6,1,1,24,11,3,14,,21,3,3,36,8,88,158,46,7,8,13
4/12/2020,,1,5,5,7,,,18,20,1,21,,13,5,3,26,3,64,118,29,1,5,13
4/13/2020,,1,4,,12,,,17,27,14,41,,14,3,1,99,19,149,275,110,28,48,13
4/14/2020,,,4,10,3,,,17,11,28,39,,17,,1,86,19,151,279,89,17,46,13
4/15/2020,,,5,11,10,,1,27,43,6,49,,18,9,1,91,25,160,277,86,22,36,13
4/16/2020,,,5,4,3,,1,13,21,1,22,,10,3,1,106,29,151,266,62,25,39,13
4/17/2020,1,1,5,8,9,,1,25,38,8,46,,19,6,2,100,43,83,272,63,23,34,13
4/18/2020,,1,6,5,8,,,20,11,2,13,,16,4,3,49,15,70,128,34,5,7,13
4/19/2020,1,,6,3,9,,,19,4,0,4,,18,1,,35,6,58,122,35,6,3,13
4/20/2020,,3,15,4,7,,1,30,57,7,64,,27,3,1,98,42,146,268,86,25,47,13
4/21/2020,,1,2,4,8,,1,16,21,9,30,,14,2,3,91,31,128,235,81,36,27,13
4/22/2020,,3,5,9,4,,1,22,29,7,36,,19,3,1,81,26,142,245,85,23,35,13
4/23/2020,,1,3,10,5,2,,21,33,1,34,,14,7,2,97,26,160,277,85,13,21,13
4/24/2020,,,2,4,3,1,2,12,29,5,34,,9,3,3,103,25,160,318,60,24,6,13
4/25/2020,,2,2,4,9,,3,20,10,7,17,,13,7,1,63,10,70,169,38,10,13,13
4/26/2020,,1,3,6,14,,1,25,8,2,10,,23,2,,59,7,73,116,32,5,4,13
4/27/2020,,,2,7,10,1,,20,17,3,20,,14,6,2,107,32,225,332,90,27,17,13
4/28/2020,,,1,9,13,,1,24,25,10,35,,21,3,,77,25,148,288,105,23,18,13
4/29/2020,,1,,2,7,,1,11,21,11,32,,9,2,1,89,50,122,255,92,27,27,13
4/30/2020,,,4,4,9,,,17,29,2,31,,13,4,1,112,30,95,332,97,23,20,13
5/1/2020,,,2,10,13,1,1,27,23,-3,20,,22,5,,121,31,141,264,124,27,18,13
5/2/2020,1,1,2,2,10,,2,18,25,1,26,,18,,1,97,18,61,135,44,10,11,13
5/3/2020,,1,2,7,9,,1,20,18,0,18,,14,6,,55,8,59,88,40,9,7,13
5/4/2020,,,1,3,16,,,20,21,6,27,,17,3,2,103,27,123,279,103,29,15,13
5/5/2020,,,1,3,16,1,1,22,13,8,21,,19,3,,68,31,104,237,105,23,56,13
5/6/2020,,,4,4,11,,,19,26,5,31,,15,4,1,113,26,117,291,86,28,32,13
5/7/2020,,,3,2,13,1,2,21,21,-1,20,,17,4,1,137,29,109,391,88,19,33,13
5/8/2020,,1,5,7,16,,1,30,20,7,27,,25,5,,145,31,78,187,114,21,31,13
5/9/2020,,,3,8,12,,1,24,22,3,25,,19,5,1,177,17,48,136,30,5,17,13
5/10/2020,,,4,5,17,,,26,17,-1,16,,24,2,,50,7,44,96,32,6,7,13
5/11/2020,,,3,1,15,2,,21,7,7,14,,17,4,,121,35,192,355,153,65,68,13
5/12/2020,,,,2,18,,1,21,26,7,33,,15,6,1,139,42,250,499,167,26,21,13
5/13/2020,,,3,6,14,,,23,27,4,31,,17,6,1,172,43,179,284,135,21,24,13
5/14/2020,,,2,,15,,,17,26,1,27,,15,2,2,202,35,206,279,108,27,18,13
5/15/2020,,,3,2,31,1,,37,34,4,38,,33,4,1,176,50,287,300,150,23,9,13
5/16/2020,,,1,3,10,2,,16,17,13,30,,14,2,,117,14,92,145,54,10,9,13
5/17/2020,,1,5,2,16,1,1,26,16,1,17,,20,6,,66,10,64,129,46,8,8,13
5/18/2020,,,4,1,20,1,,26,14,5,19,,22,4,,131,45,190,326,193,29,12,13
5/19/2020,,,7,1,20,1,1,30,20,1,21,,27,3,1,112,32,196,299,326,51,17,13
5/20/2020,,,2,3,16,2,2,25,25,5,30,,25,,2,287,40,164,240,247,16,24,13
5/21/2020,,,2,1,8,3,2,16,23,5,28,,15,1,2,159,47,129,232,170,12,14,13
5/22/2020,,,4,,14,5,1,24,55,6,61,,21,3,,161,52,84,154,142,19,15,13
5/23/2020,,,3,,14,6,5,28,31,0,31,,21,7,1,110,0,69,184,134,8,12,13
5/24/2020,,,3,1,16,4,4,28,39,0,39,,26,2,1,134,9,104,256,83,20,19,13
5/25/2020,,,7,2,20,2,5,36,19,0,19,,25,11,,200,11,225,318,128,22,15,13
5/26/2020,,,1,3,15,6,1,26,13,2,15,,20,6,,610,58,507,865,384,57,47,13
5/27/2020,,,6,2,12,,7,27,27,5,32,,23,4,1,246,119,283,668,456,53,38,13
5/28/2020,,,3,4,11,7,2,27,35,3,38,,23,4,,193,83,376,894,271,62,72,13
5/29/2020,,,6,6,10,2,2,26,31,3,34,,21,5,,299,97,306,550,335,74,38,13
5/30/2020,,,4,2,12,4,,22,27,9,36,,21,1,1,154,8,214,366,188,21,39,13
5/31/2020,,,3,2,13,6,1,25,56,1,57,,23,2,1,58,12,178,391,161,35,28,13
6/1/2020,1,1,9,2,17,3,5,38,9,1,10,,30,8,,41,64,588,983,577,123,58,13
6/2/2020,,,5,5,10,1,1,22,17,10,27,,13,9,,41,88,444,765,365,153,47,13
6/3/2020,,,3,2,19,4,2,30,49,8,57,,25,5,,25,90,384,716,463,74,45,13
6/4/2020,,,3,3,14,2,5,27,54,10,64,,20,7,1,20,73,269,603,292,106,51,13
6/5/2020,,2,4,3,12,6,3,30,58,-1,57,,26,4,,50,88,253,378,166,270,87,13
6/6/2020,,2,2,3,10,2,3,22,19,9,28,,18,4,,49,9,106,268,108,40,13,13
6/7/2020,,,3,8,8,2,2,23,30,-2,28,,21,2,,126,7,156,283,147,11,12,13
6/8/2020,,,7,16,18,3,2,46,18,4,22,,42,4,,277,67,290,546,248,143,109,13
6/9/2020,,1,3,20,13,4,2,43,26,5,31,,35,8,,247,52,257,460,219,80,50,13
6/10/2020,,,5,18,12,5,3,43,33,7,40,,40,3,,197,59,279,527,206,108,58,13
6/11/2020,,,4,28,12,1,2,47,37,5,42,,38,9,1,187,55,259,516,86,95,49,13
6/12/2020,,,15,28,17,3,2,65,39,12,51,,57,8,,266,93,159,468,164,141,57,13
6/13/2020,,1,14,57,5,2,3,82,38,8,46,,78,4,1,161,10,139,359,143,19,4,13
6/14/2020,1,1,18,62,11,3,2,98,12,-3,9,,84,14,1,37,16,155,382,105,6,14,13
6/15/2020,,2,43,71,21,6,4,147,48,6,54,,134,13,,272,52,408,772,312,210,98,13
6/16/2020,,,51,90,11,4,4,160,76,2,78,,138,22,,243,54,291,729,223,192,61,13
6/17/2020,,1,44,72,21,5,6,149,61,31,92,,140,9,,220,72,496,933,287,100,59,13
6/18/2020,,2,52,82,14,3,3,156,96,15,111,,139,17,,223,73,572,1110,231,286,76,13
6/19/2020,1,1,39,83,18,3,8,153,112,16,128,,141,12,,259,77,453,805,168,112,74,13
6/20/2020,,1,53,90,25,5,5,179,119,16,135,,158,21,,185,12,198,579,97,27,16,13
6/21/2020,,1,53,72,15,3,5,149,81,3,84,,136,13,,57,16,318,611,123,15,18,13
6/22/2020,,7,73,94,30,6,5,215,154,10,164,,197,18,1,343,118,719,1307,364,181,87,13
6/23/2020,,3,89,78,32,11,7,220,123,25,148,,199,21,,329,105,558,1397,272,154,67,13
6/24/2020,,4,80,96,25,8,3,216,223,20,243,,199,17,,315,89,572,1347,309,140,85,13
6/25/2020,,1,67,69,23,17,8,185,200,20,220,,166,19,1,317,98,739,1382,251,188,106,13
6/26/2020,,4,73,66,33,8,7,191,263,20,283,,172,19,1,343,59,715,1626,219,201,137,13
6/27/2020,,3,73,53,27,8,11,175,161,10,171,,165,10,1,281,21,455,910,119,29,24,13
6/28/2020,,3,62,47,7,13,7,139,221,3,224,,125,14,1,191,12,390,843,138,29,26,13
6/29/2020,,7,70,56,15,11,18,177,201,8,209,,155,22,,459,99,712,1415,402,144,146,13
6/30/2020,,2,54,32,24,9,8,129,341,24,365,,108,21,,472,144,627,1114,325,148,94,13
7/1/2020,,1,50,26,29,3,5,114,233,20,253,,98,16,,524,131,579,1017,241,77,73,13
7/2/2020,,2,35,18,15,6,9,85,217,6,223,,71,14,1,550,154,397,852,373,71,85,13
7/3/2020,,,38,16,10,,5,69,398,3,401,,59,10,,382,11,207,469,131,38,24,13
7/4/2020,,1,24,8,15,1,7,56,378,-2,376,,54,2,1,157,13,150,364,124,15,4,13
7/5/2020,,6,26,7,7,3,15,64,365,-2,363,,54,10,1,54,5,99,208,71,12,7,13
7/6/2020,,4,30,6,9,5,16,70,292,27,319,,61,9,1,4,2,15,34,22,0,6,13
7/7/2020,,2,14,5,8,2,6,37,448,39,487,,31,6,2,,,,,,,,
7/8/2020,,1,9,1,5,4,10,30,423,7,430,,23,7,2,,,,,,,,
7/9/2020,,,4,2,1,,2,9,433,26,459,,8,1,,,,,,,,,
7/10/2020,,,3,2,3,,3,11,479,21,500,,10,1,,,,,,,,,
7/11/2020,,,3,,1,1,2,7,556,21,577,,4,3,,,,,,,,,
7/12/2020,,,,2,,,1,3,388,9,397,,2,1,,,,,,,,,
7/13/2020,,,,,,,,,495,5,500,,,,,,,,,,,,
,,,,,,,,,288,28,316,,,,,,,,,,,,
