Date,Public Health District 1,Public Health District 2,Public Health District 3,Public Health District 4,Public Health District 5,Public Health District 6,Public Health District 7,Grand Total,ConfirmedNew,ProbableNEW,TotalNEW,New,Onset Confirmed,Onset Probable,Deaths,TESTING1,TESTING2,TESTING3,TESTING4,TESTING5,TESTING6,TESTING7,TestingMissing
6/24/2020,3,4,81,122,26,8,4,248,223,20,243,,230,18,,317,89,577,1354,309,147,85,
6/25/2020,4,1,81,92,23,18,10,229,200,20,220,,205,24,1,319,98,840,1438,257,190,118,
6/26/2020,4,5,89,97,37,9,9,250,263,20,283,,229,21,1,349,62,746,1664,239,209,143,
6/27/2020,6,3,86,83,31,9,12,230,161,10,171,,219,11,1,284,23,482,986,129,32,25,
6/28/2020,8,3,79,91,13,19,9,222,221,3,224,,202,20,1,193,13,405,934,138,32,31,
6/29/2020,5,8,98,100,20,12,18,261,201,8,209,,240,21,,493,404,1034,1742,420,255,180,
6/30/2020,7,2,99,86,33,10,12,249,341,24,365,,224,25,,503,185,987,1611,352,371,140,
7/1/2020,13,2,104,62,34,3,8,226,233,20,253,,204,22,,548,160,1031,1809,245,301,161,
7/2/2020,7,2,98,44,23,8,15,197,217,6,223,,181,16,1,565,202,943,1807,463,200,137,
7/3/2020,20,2,92,43,13,4,16,190,398,3,401,,169,21,,436,38,723,1119,159,98,59,
7/4/2020,10,1,73,42,23,7,15,171,378,-2,376,,159,12,1,169,107,332,698,139,34,22,
7/5/2020,9,6,87,62,15,9,17,205,365,-2,363,,179,26,1,159,14,331,706,134,42,28,
7/6/2020,18,7,117,47,26,16,25,256,292,27,319,,240,16,1,525,112,918,1482,503,313,419,
7/7/2020,13,2,83,37,23,10,19,187,448,39,487,,169,18,2,510,131,923,1601,399,401,194,
7/8/2020,21,3,79,36,28,13,32,212,423,7,430,,198,14,3,496,150,842,1974,460,212,185,
7/9/2020,14,,61,36,13,10,18,152,433,26,459,,145,7,,619,104,886,2225,418,182,159,
7/10/2020,16,5,64,34,22,10,28,179,479,21,500,,154,25,2,751,110,954,1469,297,191,182,
7/11/2020,6,1,52,30,12,14,28,143,556,21,577,,127,16,3,318,18,550,847,162,60,53,
7/12/2020,11,1,62,38,19,5,22,158,388,9,397,,141,17,3,235,21,477,772,154,32,32,
7/13/2020,15,3,86,49,22,14,22,211,495,5,500,,193,18,1,616,136,985,1458,426,277,277,
7/14/2020,15,2,82,47,12,8,21,187,288,28,316,,170,17,4,548,95,886,1527,279,211,222,
7/15/2020,7,4,88,60,14,13,30,216,691,36,727,,192,24,4,471,88,567,1064,348,165,245,
7/16/2020,8,2,53,71,2,9,19,164,658,30,688,,142,22,4,524,84,401,826,298,87,174,
7/17/2020,5,4,59,65,10,11,20,174,588,31,619,,149,25,2,430,61,299,532,153,40,31,
7/18/2020,6,3,43,51,2,7,24,136,536,14,550,,117,19,4,44,13,128,303,89,9,9,
7/19/2020,4,2,39,53,4,5,21,128,560,11,571,,117,11,1,29,18,71,125,23,10,8,
7/20/2020,1,4,49,35,5,7,20,121,358,35,393,,100,21,8,,,,,,,,
7/21/2020,2,1,17,44,6,3,15,88,523,33,556,,74,14,4,,,,,,,,
7/22/2020,3,1,21,33,2,5,6,71,461,39,500,,62,9,8,,,,,,,,
7/23/2020,1,3,5,20,2,3,8,42,385,29,414,,27,15,4,,,,,,,,
7/24/2020,,1,9,21,1,2,4,38,502,26,528,,24,14,4,,,,,,,,
7/25/2020,1,,5,8,2,3,1,20,527,36,563,,17,3,4,,,,,,,,
7/26/2020,,,2,2,1,,6,11,351,-1,350,,7,4,5,,,,,,,,
7/27/2020,,,3,3,2,,,8,479,38,517,,5,3,2,,,,,,,,
7/28/2020,1,,1,,,,1,3,507,21,528,,1,2,1,,,,,,,,
7/29/2020,,,,,,,,,431,26,457,,,,,,,,,,,,
